
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.604554 seconds (24.9 MB/s)
csr_from_coo: 0.036072 seconds, 343565 rows, 343565 columns, 1656568 nonzeros, 1 to 84 nonzeros per row, 1 threads, 343565 to 343565 rows per thread, 1656568 to 1656568 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (2 L2 ways)
gemv (warmup): 0.010305 seconds (0.080 Gnz/s, 0.322 Gflop/s, 2.7 to 3.7 GB/s)
gemv (warmup): 0.009997 seconds (0.083 Gnz/s, 0.331 Gflop/s, 2.8 to 3.9 GB/s)
gemv (warmup): 0.009997 seconds (0.083 Gnz/s, 0.331 Gflop/s, 2.8 to 3.9 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.010029 seconds (0.083 Gnz/s, 0.330 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.010010 seconds (0.083 Gnz/s, 0.331 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.010005 seconds (0.083 Gnz/s, 0.331 Gflop/s, 2.8 to 3.9 GB/s)
gemv: 0.010046 seconds (0.082 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010041 seconds (0.082 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010047 seconds (0.082 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010039 seconds (0.083 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010041 seconds (0.082 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010038 seconds (0.083 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010037 seconds (0.083 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010059 seconds (0.082 Gnz/s, 0.329 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010037 seconds (0.083 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010050 seconds (0.082 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010054 seconds (0.082 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010049 seconds (0.082 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010039 seconds (0.083 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010043 seconds (0.082 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
gemv: 0.010042 seconds (0.082 Gnz/s, 0.330 Gflop/s, 2.8 to 3.8 GB/s)
