
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.766984 seconds (26.2 MB/s)
csr_from_coo: 0.074142 seconds, 214765 rows, 214765 columns, 3358036 nonzeros, 4 to 40 nonzeros per row, 1 threads, 214765 to 214765 rows per thread, 3358036 to 3358036 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (2 L2 ways)
gemv (warmup): 0.015866 seconds (0.106 Gnz/s, 0.423 Gflop/s, 2.9 to 4.4 GB/s)
gemv (warmup): 0.015071 seconds (0.111 Gnz/s, 0.446 Gflop/s, 3.0 to 4.7 GB/s)
gemv (warmup): 0.015088 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.015144 seconds (0.111 Gnz/s, 0.443 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015082 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015092 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015085 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015114 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015096 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015107 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015097 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015103 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015109 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015103 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015122 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015123 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015107 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015105 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015106 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015105 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015107 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015112 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015131 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015109 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015122 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015119 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015130 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015110 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015120 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015128 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015117 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015105 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015134 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015119 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015123 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015116 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015103 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015120 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015112 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015126 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015128 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015114 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015119 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015131 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015125 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015153 seconds (0.111 Gnz/s, 0.443 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015138 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015127 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015143 seconds (0.111 Gnz/s, 0.443 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015136 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015116 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015138 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015129 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015140 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015122 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015141 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015127 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015121 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015129 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015134 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015150 seconds (0.111 Gnz/s, 0.443 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015102 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015129 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015121 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015135 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015130 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015128 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015114 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015137 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015144 seconds (0.111 Gnz/s, 0.443 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015136 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015120 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015137 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015145 seconds (0.111 Gnz/s, 0.443 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015124 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015101 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015126 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015141 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015142 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015127 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015146 seconds (0.111 Gnz/s, 0.443 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015096 seconds (0.111 Gnz/s, 0.445 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015119 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015133 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015135 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015150 seconds (0.111 Gnz/s, 0.443 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015139 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015151 seconds (0.111 Gnz/s, 0.443 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015118 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015132 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015134 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015168 seconds (0.111 Gnz/s, 0.443 Gflop/s, 3.0 to 4.7 GB/s)
gemv: 0.015137 seconds (0.111 Gnz/s, 0.444 Gflop/s, 3.0 to 4.7 GB/s)
