
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.573878 seconds (22.8 MB/s)
csr_from_coo: 0.016312 seconds, 23052 rows, 23052 columns, 1143140 nonzeros, 8 to 178 nonzeros per row, 1 threads, 23052 to 23052 rows per thread, 1143140 to 1143140 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (9 L2 ways)
gemv (warmup): 0.001068 seconds (0.546 Gnz/s, 2.141 Gflop/s, 13.4 to 21.8 GB/s)
gemv (warmup): 0.001012 seconds (0.576 Gnz/s, 2.260 Gflop/s, 14.1 to 23.0 GB/s)
gemv (warmup): 0.001010 seconds (0.577 Gnz/s, 2.263 Gflop/s, 14.1 to 23.0 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.001012 seconds (0.576 Gnz/s, 2.260 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.577 Gnz/s, 2.263 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.577 Gnz/s, 2.264 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.577 Gnz/s, 2.263 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.577 Gnz/s, 2.264 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001011 seconds (0.577 Gnz/s, 2.262 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001023 seconds (0.570 Gnz/s, 2.234 Gflop/s, 13.9 to 22.7 GB/s)
gemv: 0.001010 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.266 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.267 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.266 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.267 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.577 Gnz/s, 2.264 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001021 seconds (0.571 Gnz/s, 2.239 Gflop/s, 14.0 to 22.8 GB/s)
gemv: 0.001010 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001008 seconds (0.578 Gnz/s, 2.267 Gflop/s, 14.2 to 23.0 GB/s)
gemv: 0.001010 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.266 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.267 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.266 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.577 Gnz/s, 2.264 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.577 Gnz/s, 2.264 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001021 seconds (0.571 Gnz/s, 2.239 Gflop/s, 14.0 to 22.8 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.267 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.578 Gnz/s, 2.264 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.267 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001008 seconds (0.578 Gnz/s, 2.268 Gflop/s, 14.2 to 23.0 GB/s)
gemv: 0.001022 seconds (0.571 Gnz/s, 2.238 Gflop/s, 14.0 to 22.7 GB/s)
gemv: 0.001010 seconds (0.577 Gnz/s, 2.264 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.578 Gnz/s, 2.264 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001008 seconds (0.578 Gnz/s, 2.267 Gflop/s, 14.2 to 23.0 GB/s)
gemv: 0.001010 seconds (0.577 Gnz/s, 2.264 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001021 seconds (0.571 Gnz/s, 2.240 Gflop/s, 14.0 to 22.8 GB/s)
gemv: 0.001009 seconds (0.578 Gnz/s, 2.265 Gflop/s, 14.1 to 23.0 GB/s)
gemv: 0.001010 seconds (0.577 Gnz/s, 2.264 Gflop/s, 14.1 to 23.0 GB/s)
