
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 5.749878 seconds (31.7 MB/s)
csr_from_coo: 0.503411 seconds, 4194304 rows, 4194304 columns, 25165738 nonzeros, 3 to 23 nonzeros per row, 1 threads, 4194304 to 4194304 rows per thread, 25165738 to 25165738 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (13 L2 ways)
gemv: 0.138412 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138454 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138446 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138491 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138743 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138258 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138044 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137843 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137824 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137797 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137818 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137803 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137906 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137922 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137756 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138026 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137892 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.137945 seconds (0.091 Gnz/s, 0.365 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138152 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138089 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138206 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138309 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138177 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138203 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138139 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138298 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138478 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138497 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138368 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138453 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138401 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138480 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138416 seconds (0.091 Gnz/s, 0.364 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138570 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
gemv: 0.138572 seconds (0.091 Gnz/s, 0.363 Gflop/s, 2.9 to 4.1 GB/s)
