
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 6.165985 seconds (25.3 MB/s)
csr_from_coo: 0.162578 seconds, 217918 rows, 217918 columns, 11634424 nonzeros, 2 to 180 nonzeros per row, 1 threads, 217918 to 217918 rows per thread, 11634424 to 11634424 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (6 L2 ways)
gemv (warmup): 0.009404 seconds (0.630 Gnz/s, 2.474 Gflop/s, 15.4 to 25.1 GB/s)
gemv (warmup): 0.009342 seconds (0.634 Gnz/s, 2.491 Gflop/s, 15.5 to 25.3 GB/s)
gemv (warmup): 0.009339 seconds (0.635 Gnz/s, 2.492 Gflop/s, 15.5 to 25.3 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.009357 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009355 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009358 seconds (0.633 Gnz/s, 2.486 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009357 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009355 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009360 seconds (0.633 Gnz/s, 2.486 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009357 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009337 seconds (0.635 Gnz/s, 2.492 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009355 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009354 seconds (0.634 Gnz/s, 2.488 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009357 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009368 seconds (0.633 Gnz/s, 2.484 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009355 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009356 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009353 seconds (0.634 Gnz/s, 2.488 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009351 seconds (0.634 Gnz/s, 2.488 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009356 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009355 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009357 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009357 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009357 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009352 seconds (0.634 Gnz/s, 2.488 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009358 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009355 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009360 seconds (0.633 Gnz/s, 2.486 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009362 seconds (0.633 Gnz/s, 2.485 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009343 seconds (0.634 Gnz/s, 2.490 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009343 seconds (0.634 Gnz/s, 2.491 Gflop/s, 15.5 to 25.3 GB/s)
gemv: 0.009358 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009356 seconds (0.633 Gnz/s, 2.487 Gflop/s, 15.5 to 25.2 GB/s)
gemv: 0.009358 seconds (0.633 Gnz/s, 2.486 Gflop/s, 15.5 to 25.2 GB/s)
