
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.535450 seconds (24.1 MB/s)
csr_from_coo: 0.014620 seconds, 16146 rows, 16146 columns, 1015156 nonzeros, 24 to 89 nonzeros per row, 1 threads, 16146 to 16146 rows per thread, 1015156 to 1015156 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (13 L2 ways)
gemv (warmup): 0.000836 seconds (0.617 Gnz/s, 2.428 Gflop/s, 15.0 to 24.6 GB/s)
gemv (warmup): 0.000830 seconds (0.622 Gnz/s, 2.447 Gflop/s, 15.2 to 24.8 GB/s)
gemv (warmup): 0.000843 seconds (0.612 Gnz/s, 2.409 Gflop/s, 14.9 to 24.4 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.000830 seconds (0.621 Gnz/s, 2.447 Gflop/s, 15.1 to 24.8 GB/s)
gemv: 0.000870 seconds (0.593 Gnz/s, 2.334 Gflop/s, 14.5 to 23.6 GB/s)
gemv: 0.000830 seconds (0.621 Gnz/s, 2.446 Gflop/s, 15.1 to 24.8 GB/s)
gemv: 0.000828 seconds (0.623 Gnz/s, 2.452 Gflop/s, 15.2 to 24.8 GB/s)
gemv: 0.000828 seconds (0.623 Gnz/s, 2.451 Gflop/s, 15.2 to 24.8 GB/s)
gemv: 0.000830 seconds (0.621 Gnz/s, 2.445 Gflop/s, 15.1 to 24.8 GB/s)
gemv: 0.000828 seconds (0.623 Gnz/s, 2.452 Gflop/s, 15.2 to 24.8 GB/s)
gemv: 0.000829 seconds (0.622 Gnz/s, 2.449 Gflop/s, 15.2 to 24.8 GB/s)
gemv: 0.000829 seconds (0.622 Gnz/s, 2.448 Gflop/s, 15.2 to 24.8 GB/s)
