
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 1.948483 seconds (26.2 MB/s)
csr_from_coo: 0.029566 seconds, 22835 rows, 22835 columns, 1642833 nonzeros, 1 to 924 nonzeros per row, 1 threads, 22835 to 22835 rows per thread, 1642833 to 1642833 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (3 L2 ways)
gemv: 0.001296 seconds (1.268 Gnz/s, 2.535 Gflop/s, 15.6 to 25.6 GB/s)
gemv: 0.001290 seconds (1.273 Gnz/s, 2.547 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001289 seconds (1.274 Gnz/s, 2.549 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001292 seconds (1.271 Gnz/s, 2.542 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001292 seconds (1.272 Gnz/s, 2.544 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001292 seconds (1.271 Gnz/s, 2.543 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001286 seconds (1.277 Gnz/s, 2.554 Gflop/s, 15.8 to 25.8 GB/s)
gemv: 0.001290 seconds (1.273 Gnz/s, 2.547 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001301 seconds (1.262 Gnz/s, 2.525 Gflop/s, 15.6 to 25.5 GB/s)
gemv: 0.001289 seconds (1.275 Gnz/s, 2.550 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001289 seconds (1.274 Gnz/s, 2.548 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001290 seconds (1.274 Gnz/s, 2.547 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001289 seconds (1.275 Gnz/s, 2.549 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001288 seconds (1.275 Gnz/s, 2.550 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001290 seconds (1.274 Gnz/s, 2.547 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001304 seconds (1.259 Gnz/s, 2.519 Gflop/s, 15.5 to 25.5 GB/s)
gemv: 0.001292 seconds (1.272 Gnz/s, 2.544 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001289 seconds (1.275 Gnz/s, 2.549 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001290 seconds (1.274 Gnz/s, 2.548 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001293 seconds (1.271 Gnz/s, 2.542 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001290 seconds (1.274 Gnz/s, 2.547 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001288 seconds (1.275 Gnz/s, 2.551 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001300 seconds (1.263 Gnz/s, 2.527 Gflop/s, 15.6 to 25.6 GB/s)
gemv: 0.001290 seconds (1.274 Gnz/s, 2.547 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001286 seconds (1.278 Gnz/s, 2.556 Gflop/s, 15.8 to 25.8 GB/s)
gemv: 0.001291 seconds (1.272 Gnz/s, 2.545 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001290 seconds (1.274 Gnz/s, 2.548 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001286 seconds (1.277 Gnz/s, 2.554 Gflop/s, 15.8 to 25.8 GB/s)
gemv: 0.001291 seconds (1.273 Gnz/s, 2.546 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001287 seconds (1.276 Gnz/s, 2.553 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001298 seconds (1.266 Gnz/s, 2.532 Gflop/s, 15.6 to 25.6 GB/s)
gemv: 0.001286 seconds (1.278 Gnz/s, 2.555 Gflop/s, 15.8 to 25.8 GB/s)
gemv: 0.001287 seconds (1.277 Gnz/s, 2.553 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001289 seconds (1.274 Gnz/s, 2.549 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001291 seconds (1.273 Gnz/s, 2.546 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001293 seconds (1.270 Gnz/s, 2.541 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001289 seconds (1.274 Gnz/s, 2.548 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001299 seconds (1.265 Gnz/s, 2.530 Gflop/s, 15.6 to 25.6 GB/s)
gemv: 0.001290 seconds (1.273 Gnz/s, 2.546 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001287 seconds (1.277 Gnz/s, 2.554 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001288 seconds (1.275 Gnz/s, 2.550 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001289 seconds (1.274 Gnz/s, 2.548 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001288 seconds (1.276 Gnz/s, 2.552 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001286 seconds (1.278 Gnz/s, 2.556 Gflop/s, 15.8 to 25.8 GB/s)
gemv: 0.001299 seconds (1.264 Gnz/s, 2.529 Gflop/s, 15.6 to 25.6 GB/s)
gemv: 0.001291 seconds (1.272 Gnz/s, 2.544 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001285 seconds (1.279 Gnz/s, 2.557 Gflop/s, 15.8 to 25.9 GB/s)
gemv: 0.001290 seconds (1.274 Gnz/s, 2.547 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001288 seconds (1.275 Gnz/s, 2.551 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001290 seconds (1.273 Gnz/s, 2.547 Gflop/s, 15.7 to 25.7 GB/s)
gemv: 0.001289 seconds (1.274 Gnz/s, 2.549 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001288 seconds (1.275 Gnz/s, 2.550 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001313 seconds (1.251 Gnz/s, 2.503 Gflop/s, 15.4 to 25.3 GB/s)
gemv: 0.001288 seconds (1.276 Gnz/s, 2.551 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001288 seconds (1.275 Gnz/s, 2.550 Gflop/s, 15.7 to 25.8 GB/s)
gemv: 0.001288 seconds (1.276 Gnz/s, 2.551 Gflop/s, 15.7 to 25.8 GB/s)
region,threads,EFFECTIVE_INST_SPEC,CPU_CYCLES,FP_DP_FIXED_OPS_SPEC,FP_DP_SCALE_OPS_SPEC,L2D_CACHE_REFILL,L2D_CACHE_WB,L2D_SWAP_DM,L2D_CACHE_MIBMCH_PRF,L1D_CACHE_REFILL,CPI ,Frequency ,L1D cache miss rate ,L2D cache miss rate ,L2-Memory Bandwidth ,DP (FP) ,DP (FP+SVE512) ,Computational Intensity (FP+SVE512) ,time
gemv,0,205752112,303355638,2286806,107520600,7745556,394,24111,6404,8460150,1.474374,2210.207748,0.041118,0.037497,14.390683,16.661356,3150.182985,0.218904,0.137252
total,-1,205752112,303355638,2286806,107520600,7745556,394,24111,6404,8460150,1.474374,2210.207748,0.041118,0.037497,14.390683,16.661356,3150.182985,0.218904,0.137252
