
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.578116 seconds (25.8 MB/s)
csr_from_coo: 0.015618 seconds, 17361 rows, 17361 columns, 1021159 nonzeros, 12 to 360 nonzeros per row, 1 threads, 17361 to 17361 rows per thread, 1021159 to 1021159 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (10 L2 ways)
gemv (warmup): 0.001117 seconds (0.465 Gnz/s, 1.828 Gflop/s, 11.3 to 18.5 GB/s)
gemv (warmup): 0.001062 seconds (0.489 Gnz/s, 1.924 Gflop/s, 11.9 to 19.5 GB/s)
gemv (warmup): 0.001061 seconds (0.489 Gnz/s, 1.925 Gflop/s, 11.9 to 19.5 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.001062 seconds (0.489 Gnz/s, 1.924 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.926 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001061 seconds (0.489 Gnz/s, 1.924 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001071 seconds (0.485 Gnz/s, 1.907 Gflop/s, 11.8 to 19.3 GB/s)
gemv: 0.001061 seconds (0.490 Gnz/s, 1.926 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001058 seconds (0.491 Gnz/s, 1.931 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001058 seconds (0.491 Gnz/s, 1.930 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001061 seconds (0.490 Gnz/s, 1.926 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001072 seconds (0.484 Gnz/s, 1.905 Gflop/s, 11.8 to 19.3 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001061 seconds (0.489 Gnz/s, 1.925 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.926 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001069 seconds (0.486 Gnz/s, 1.910 Gflop/s, 11.8 to 19.4 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001065 seconds (0.488 Gnz/s, 1.918 Gflop/s, 11.9 to 19.4 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001072 seconds (0.485 Gnz/s, 1.906 Gflop/s, 11.8 to 19.3 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001061 seconds (0.490 Gnz/s, 1.926 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001070 seconds (0.485 Gnz/s, 1.908 Gflop/s, 11.8 to 19.3 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.926 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.926 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001071 seconds (0.485 Gnz/s, 1.907 Gflop/s, 11.8 to 19.3 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001058 seconds (0.491 Gnz/s, 1.931 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001058 seconds (0.491 Gnz/s, 1.930 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001070 seconds (0.485 Gnz/s, 1.909 Gflop/s, 11.8 to 19.3 GB/s)
gemv: 0.001061 seconds (0.489 Gnz/s, 1.925 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001058 seconds (0.491 Gnz/s, 1.931 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001061 seconds (0.490 Gnz/s, 1.925 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.926 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001070 seconds (0.485 Gnz/s, 1.908 Gflop/s, 11.8 to 19.3 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.926 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001062 seconds (0.489 Gnz/s, 1.922 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001058 seconds (0.491 Gnz/s, 1.931 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001072 seconds (0.485 Gnz/s, 1.906 Gflop/s, 11.8 to 19.3 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001058 seconds (0.491 Gnz/s, 1.931 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001058 seconds (0.491 Gnz/s, 1.930 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.927 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.926 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001071 seconds (0.485 Gnz/s, 1.906 Gflop/s, 11.8 to 19.3 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.5 GB/s)
gemv: 0.001061 seconds (0.489 Gnz/s, 1.924 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001064 seconds (0.488 Gnz/s, 1.919 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001059 seconds (0.491 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001059 seconds (0.491 Gnz/s, 1.929 Gflop/s, 12.0 to 19.6 GB/s)
gemv: 0.001060 seconds (0.490 Gnz/s, 1.926 Gflop/s, 11.9 to 19.5 GB/s)
gemv: 0.001059 seconds (0.490 Gnz/s, 1.928 Gflop/s, 12.0 to 19.5 GB/s)
