
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.655400 seconds (26.2 MB/s)
csr_from_coo: 0.047298 seconds, 45330 rows, 45330 columns, 3213618 nonzeros, 10 to 2364 nonzeros per row, 1 threads, 45330 to 45330 rows per thread, 3213618 to 3213618 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (6 L2 ways)
gemv (warmup): 0.002225 seconds (0.732 Gnz/s, 2.888 Gflop/s, 17.8 to 29.2 GB/s)
gemv (warmup): 0.002190 seconds (0.744 Gnz/s, 2.934 Gflop/s, 18.1 to 29.7 GB/s)
gemv (warmup): 0.002187 seconds (0.745 Gnz/s, 2.939 Gflop/s, 18.1 to 29.7 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.002212 seconds (0.737 Gnz/s, 2.906 Gflop/s, 17.9 to 29.4 GB/s)
gemv: 0.002191 seconds (0.744 Gnz/s, 2.934 Gflop/s, 18.1 to 29.7 GB/s)
gemv: 0.002188 seconds (0.745 Gnz/s, 2.937 Gflop/s, 18.1 to 29.7 GB/s)
gemv: 0.002188 seconds (0.745 Gnz/s, 2.937 Gflop/s, 18.1 to 29.7 GB/s)
gemv: 0.002196 seconds (0.742 Gnz/s, 2.927 Gflop/s, 18.1 to 29.6 GB/s)
gemv: 0.002199 seconds (0.741 Gnz/s, 2.922 Gflop/s, 18.0 to 29.6 GB/s)
gemv: 0.002187 seconds (0.745 Gnz/s, 2.938 Gflop/s, 18.1 to 29.7 GB/s)
gemv: 0.002188 seconds (0.745 Gnz/s, 2.937 Gflop/s, 18.1 to 29.7 GB/s)
gemv: 0.002188 seconds (0.745 Gnz/s, 2.938 Gflop/s, 18.1 to 29.7 GB/s)
