
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 1.364094 seconds (29.0 MB/s)
csr_from_coo: 0.050072 seconds, 325557 rows, 325557 columns, 3216152 nonzeros, 0 to 2716 nonzeros per row, 1 threads, 325557 to 325557 rows per thread, 3216152 to 3216152 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (10 L2 ways)
gemv: 0.009157 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009171 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009160 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009151 seconds (0.351 Gnz/s, 0.703 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009159 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009163 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009169 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009171 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009165 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009171 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009161 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009165 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009172 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009166 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009169 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009170 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009167 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009148 seconds (0.352 Gnz/s, 0.703 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009152 seconds (0.351 Gnz/s, 0.703 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009153 seconds (0.351 Gnz/s, 0.703 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009158 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009156 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009176 seconds (0.350 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009166 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009165 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009170 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009154 seconds (0.351 Gnz/s, 0.703 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009168 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009175 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009157 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009159 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009156 seconds (0.351 Gnz/s, 0.703 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009162 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009160 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009183 seconds (0.350 Gnz/s, 0.700 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009161 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009158 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009172 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009170 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009158 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009172 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009176 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009169 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009174 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009164 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009160 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009148 seconds (0.352 Gnz/s, 0.703 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009176 seconds (0.350 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009172 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009168 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009166 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009158 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009171 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009174 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009158 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009162 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
region,threads,EFFECTIVE_INST_SPEC,CPU_CYCLES,FP_DP_FIXED_OPS_SPEC,FP_DP_SCALE_OPS_SPEC,L2D_CACHE_REFILL,L2D_CACHE_WB,L2D_SWAP_DM,L2D_CACHE_MIBMCH_PRF,L1D_CACHE_REFILL,CPI ,Frequency ,L1D cache miss rate ,L2D cache miss rate ,L2-Memory Bandwidth ,DP (FP) ,DP (FP+SVE512) ,Computational Intensity (FP+SVE512) ,time
gemv,0,1350953703,2046102720,32559006,368679000,18694465,1038527,134136,66615,22576339,1.514562,2200.005953,0.016711,0.013689,5.376362,35.008021,1620.648833,0.301440,0.930044
total,-1,1350953703,2046102720,32559006,368679000,18694465,1038527,134136,66615,22576339,1.514562,2200.005953,0.016711,0.013689,5.376362,35.008021,1620.648833,0.301440,0.930044
