
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.452531 seconds (25.2 MB/s)
csr_from_coo: 0.068241 seconds, 334863 rows, 334863 columns, 1851744 nonzeros, 1 to 549 nonzeros per row, 1 threads, 334863 to 334863 rows per thread, 1851744 to 1851744 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (11 L2 ways)
gemv: 0.024614 seconds (0.038 Gnz/s, 0.150 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024878 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024709 seconds (0.037 Gnz/s, 0.150 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024908 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024651 seconds (0.038 Gnz/s, 0.150 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024900 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024790 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.025008 seconds (0.037 Gnz/s, 0.148 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024834 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024986 seconds (0.037 Gnz/s, 0.148 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024821 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.025013 seconds (0.037 Gnz/s, 0.148 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024784 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.025002 seconds (0.037 Gnz/s, 0.148 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024820 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.025030 seconds (0.037 Gnz/s, 0.148 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024709 seconds (0.037 Gnz/s, 0.150 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024921 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024794 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024820 seconds (0.037 Gnz/s, 0.149 Gflop/s, 1.2 to 1.7 GB/s)
gemv: 0.024682 seconds (0.038 Gnz/s, 0.150 Gflop/s, 1.2 to 1.7 GB/s)
