matrix,threads,nnz,rows,rep,l1miss,l2miss,l1miss_sc,l2miss_sc,l1red,l2red
144,1,2148786,144649,1,1281850.9375,109764.9375,1153961.9375,100724.34375,9.97690107786031,8.236322049561592
2cubes_sphere,1,1647264,101492,1,181520.78125,83558.78125,129421.78125,77215.5,28.701396964707037,7.5913999164510315
333SP,1,22217266,3712815,1,8319716.3125,6497694.3125,8294344.3125,5660606.3125,0.30496232139405655,12.882846741337833
3dtube,1,3213618,45330,1,163473.5,153471.5,154888.5,150638.34375,5.251615705297801,1.8460471488191619
598a,1,1483868,110971,1,1209480.03125,76492.03125,1139766.03125,69556.3125,5.763964530108897,9.067243524141608
adaptive,1,27248640,6815744,1,3233691.03125,3211469.03125,3225076.03125,3206156.03125,0.26641382608126996,0.16543830715166574
af_0_k101,1,17550675,503625,1,869903.484375,869903.484375,869903.484375,854164.484375,0.0,1.8092811769006776
af_1_k101,1,17550675,503625,1,869903.484375,869903.484375,869903.484375,854164.484375,0.0,1.8092811769006776
af_2_k101,1,17550675,503625,1,869903.484375,869903.484375,869903.484375,854164.484375,0.0,1.8092811769006776
af_3_k101,1,17550675,503625,1,869903.484375,869903.484375,869903.484375,854164.484375,0.0,1.8092811769006776
af_4_k101,1,17550675,503625,1,869903.484375,869903.484375,869903.484375,854164.484375,0.0,1.8092811769006776
af_5_k101,1,17550675,503625,1,869903.484375,869903.484375,869903.484375,854164.484375,0.0,1.8092811769006776
af_shell10,1,52672325,1508065,1,2704529.328125,2610397.328125,2704096.328125,2610397.328125,0.016010179497672184,0.0
af_shell1,1,17588875,504855,1,894164.984375,871808.984375,871808.984375,856031.984375,2.500209736531599,1.8096854107681093
af_shell2,1,17588875,504855,1,894164.984375,871808.984375,871808.984375,856031.984375,2.500209736531599,1.8096854107681093
af_shell3,1,17588875,504855,1,894164.984375,871808.984375,871808.984375,856031.984375,2.500209736531599,1.8096854107681093
af_shell4,1,17588875,504855,1,894164.984375,871808.984375,871808.984375,856031.984375,2.500209736531599,1.8096854107681093
af_shell5,1,17588875,504855,1,894164.984375,871808.984375,871808.984375,856031.984375,2.500209736531599,1.8096854107681093
af_shell6,1,17588875,504855,1,894164.984375,871808.984375,871808.984375,856031.984375,2.500209736531599,1.8096854107681093
af_shell7,1,17588875,504855,1,894164.984375,871808.984375,871808.984375,856031.984375,2.500209736531599,1.8096854107681093
af_shell8,1,17588875,504855,1,894164.984375,871808.984375,871808.984375,856031.984375,2.500209736531599,1.8096854107681093
af_shell9,1,17588875,504855,1,894164.984375,871808.984375,871808.984375,856031.984375,2.500209736531599,1.8096854107681093
al2010,1,1230482,252266,1,427636.5,73445.5,263920.5,57678.84375,38.28391636354708,21.46715081250723
amazon0302,1,1234877,262111,1,703584.828125,74266.828125,671394.828125,57884.859375,4.575141292597781,22.058258260911824
amazon0312,1,3200440,400727,1,1649952.09375,179693.09375,1603542.09375,175066.09375,2.812808940077749,2.5749459277702487
amazon0505,1,3356824,410236,1,1667400.90625,190036.90625,1619156.90625,182990.90625,2.893365345980362,3.707700856133044
amazon0601,1,3387388,403394,1,1680927.96875,188973.96875,1634486.96875,183995.96875,2.7628191608076604,2.634225249608618
amazon-2008,1,5158388,735323,1,988003.15625,486620.15625,945301.15625,307486.15625,4.322050970168649,36.811874251252824
analytics,1,2006126,303813,1,217827.5,113025.5,203261.5,113025.5,6.686942649573631,0.0
apache2,1,4817870,715176,1,337439.1875,292886.1875,337232.1875,292882.1875,0.06134438668300788,0.001365718210934751
appu,1,1853104,14000,1,1593803.28125,87739.28125,879617.28125,86864.25,44.810172522663706,0.9973084319060341
arabic-2005,1,639999458,22744080,1,37835382.625,32937667.625,34675960.625,32831734.625,8.35044284159661,0.32161657955281525
AS365,1,22736152,3799275,1,12670184.84375,10970955.84375,12641078.84375,10135511.84375,0.2297204054947748,7.615052069286568
asia_osm,1,25423206,11950757,1,3599568.125,3158148.125,3542190.125,3113423.125,1.5940245609325703,1.4161780331313625
ASIC_320k,1,2635364,321821,1,343100.53125,143646.53125,324441.53125,143646.53125,5.438347743741653,0.0
ASIC_320ks,1,1827807,321671,1,148219.921875,105782.921875,141782.921875,105782.921875,4.342870997751968,0.0
ASIC_680k,1,3871773,682862,1,385600.265625,267895.265625,377808.265625,238639.265625,2.020745495953002,10.92068571340584
ASIC_680ks,1,2329176,682712,1,216672.65625,177425.65625,210686.65625,168098.65625,2.762692858250313,5.256849655868188
as-Skitter,1,22190596,1696415,1,7305650.15625,2194949.15625,6344487.15625,1579060.15625,13.156433437723855,28.059374325199705
atmosmodd,1,8814880,1270432,1,610334.53125,532300.53125,610334.53125,532300.53125,0.0,0.0
atmosmodj,1,8814880,1270432,1,610334.53125,532300.53125,610334.53125,532300.53125,0.0,0.0
atmosmodl,1,10319760,1489752,1,714063.28125,623403.28125,714063.28125,623403.28125,0.0,0.0
atmosmodm,1,10319760,1489752,1,714063.28125,623403.28125,714063.28125,623403.28125,0.0,0.0
audikw_1,1,77651847,943695,1,4158259.296875,3772036.296875,3962697.296875,3721926.296875,4.702977521073976,1.3284601752510807
auto,1,6629222,448695,1,4708879.25,344682.25,4506374.25,338788.25,4.300492521654702,1.7099807141214844
av41092,1,1683902,41092,1,237119.1875,81501.1875,146587.1875,78932.90625,38.179955386360284,3.151219422416391
az2010,1,1196094,241666,1,634755.0625,71171.0625,533221.0625,56066.90625,15.99577632356418,21.22232789485193
barrier2-10,1,3897557,115625,1,457375.578125,189924.578125,377423.578125,182697.984375,17.48060102547698,3.8049808094051807
barrier2-11,1,3897557,115625,1,457375.578125,189924.578125,377423.578125,182697.984375,17.48060102547698,3.8049808094051807
barrier2-12,1,3897557,115625,1,457375.578125,189924.578125,377423.578125,182697.984375,17.48060102547698,3.8049808094051807
barrier2-1,1,3805068,113076,1,449607.84375,185429.84375,371115.84375,178362.5625,17.457880482095124,3.811296556733468
barrier2-2,1,3805068,113076,1,449607.84375,185429.84375,371115.84375,178362.5625,17.457880482095124,3.811296556733468
