matrix,threads,nnz,rows,rep,l1miss,l2miss,l1miss_sc,l2miss_sc,l1red,l2red
144,1,2148786,144649,1,1167399,111928,1130915.34375,100724.34375,3.1252087975062506,10.009699315631478
2cubes_sphere,1,1647264,101492,1,147749,86111,127801.5,77215.5,13.500937400591544,10.330271393898572
333SP,1,22217266,3712815,1,8286988,4845651,8280854.34375,5080353.34375,0.07401550780573111,-4.843566813829556
3dtube,1,3213618,45330,1,166017,154890,155039.34375,150638.34375,6.612368763439888,2.7449520627542126
598a,1,1483868,110971,1,1134687,76507,1124056.3125,69556.3125,0.9368828143796483,9.085034702706942
adaptive,1,27248640,6815744,1,3231288,3205277,3224759.0,3201904.0,0.20205565087358354,0.10523271467645387
af_0_k101,1,17550675,503625,1,901344,869906,869904.890625,869904.890625,3.488025590118756,0.0001275281467193007
af_1_k101,1,17550675,503625,1,901344,869906,869904.890625,869904.890625,3.488025590118756,0.0001275281467193007
af_2_k101,1,17550675,503625,1,901344,869906,869904.890625,869904.890625,3.488025590118756,0.0001275281467193007
af_3_k101,1,17550675,503625,1,901344,869906,869904.890625,869904.890625,3.488025590118756,0.0001275281467193007
af_4_k101,1,17550675,503625,1,901344,869906,869904.890625,869904.890625,3.488025590118756,0.0001275281467193007
af_5_k101,1,17550675,503625,1,901344,869906,869904.890625,869904.890625,3.488025590118756,0.0001275281467193007
af_shell10,1,52672325,1508065,1,2704533,2610401,2704491.234375,2610399.234375,0.0015442823215690103,6.763807552939184e-05
af_shell1,1,17588875,504855,1,903964,871811,889392.515625,871809.515625,1.6119540573518414,0.00017026339424485354
af_shell2,1,17588875,504855,1,903964,871811,889392.515625,871809.515625,1.6119540573518414,0.00017026339424485354
af_shell3,1,17588875,504855,1,903964,871811,889392.515625,871809.515625,1.6119540573518414,0.00017026339424485354
af_shell4,1,17588875,504855,1,903964,871811,889392.515625,871809.515625,1.6119540573518414,0.00017026339424485354
af_shell5,1,17588875,504855,1,903964,871811,889392.515625,871809.515625,1.6119540573518414,0.00017026339424485354
