matrix,time
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603336
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603334
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603334
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603334
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603334
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603336
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603336
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603336
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603336
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603334
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603334
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603334
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603336
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/debr.mtx, 1.603335
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704627
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704625
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AG-Monien/wave.mtx, 0.704626
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020806
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020806
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020806
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020806
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020806
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020808
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020806
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
/home/ru37geh/mtx/suitesparse/AMD/G3_circuit.mtx, 3.020807
